Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
180000	14.241405642032623	180999	139.95285457736304	158.67283753283638	559	0.02
181000	14.576476788520813	181999	146.14633723841635	158.67283753283638	563	0.02
182000	14.642648792266845	182999	152.3091620076752	158.67283753283638	566	0.02
183000	14.701271351178487	183999	156.16143743564723	158.67283753283638	571	0.02
184000	14.763011014461517	184999	153.18843675362146	158.67283753283638	576	0.02
185000	14.825549932320913	185999	156.5585303282297	158.67283753283638	580	0.02
186000	14.884695132573446	186999	155.8288082238043	158.67283753283638	586	0.02
187000	14.946242888768515	187999	160.83222406790725	160.83222406790725	591	0.02
188000	15.008575371901195	188999	165.46018609039274	165.46018609039274	596	0.02
189000	15.068120721975962	189999	171.63064253495241	171.63064253495241	602	0.02
190000	15.132168396313984	190999	174.5471363734016	174.5471363734016	605	0.02
191000	15.19391824801763	191999	174.0127142670952	174.5471363734016	611	0.02
192000	15.255900208155314	192999	174.4461577061142	174.5471363734016	615	0.02
193000	15.31831005414327	193999	180.5702092290519	180.5702092290519	620	0.02
194000	15.381268278757732	194999	183.48883687003868	183.48883687003868	624	0.02
195000	15.438345360755921	195999	182.80908559066637	183.48883687003868	629	0.02
196000	15.500315233071644	196999	187.82723175071203	187.82723175071203	635	0.02
197000	15.562122507890065	197999	187.68263314202756	187.82723175071203	638	0.02
198000	15.62346173922221	198999	192.82019421455408	192.82019421455408	642	0.02
199000	15.7041450381279	199999	195.6786794154378	195.6786794154378	643	0.02
200000	15.768878249327342	200999	192.73473424654875	195.6786794154378	646	0.02
201000	16.060164920488994	201999	195.10970364345587	195.6786794154378	651	0.02
202000	16.120692602793376	202999	201.5696301204721	201.5696301204721	655	0.02
203000	16.178195814291637	203999	201.22094976260723	201.5696301204721	661	0.02
204000	16.242707379659016	204999	201.53078202430675	201.5696301204721	663	0.02
205000	16.308086415131886	205999	199.7350911323851	201.5696301204721	666	0.02
206000	16.36754080851873	206999	203.21831397780414	203.21831397780414	672	0.02
207000	16.426468157768248	207999	209.4150916913673	209.4150916913673	678	0.02
208000	16.485653575261434	208999	211.4461794643793	211.4461794643793	684	0.02
209000	16.547079396247863	209999	211.06796559520572	211.4461794643793	691	0.02
210000	16.607720136642456	210999	208.49780744262446	211.4461794643793	696	0.02
211000	16.670390578111014	211999	207.99847290879043	211.4461794643793	699	0.02
212000	16.732666397094725	212999	210.28908468457087	211.4461794643793	702	0.02
213000	16.79492975473404	213999	207.0397035561316	211.4461794643793	706	0.02
214000	16.854178623358408	214999	211.2945371359647	211.4461794643793	711	0.02
215000	16.913395766417185	215999	214.05860839913046	214.05860839913046	715	0.02
216000	16.976821633179984	216999	215.78983934605134	215.78983934605134	719	0.02
217000	17.042458645502727	217999	214.93953996406964	215.78983934605134	724	0.02
218000	17.1058221578598	218999	217.45380199742377	217.45380199742377	727	0.02
219000	17.163641901810966	219999	220.63029469517576	220.63029469517576	732	0.02
220000	17.224826737244925	220999	223.39225305553893	223.39225305553893	736	0.02
221000	17.41033980449041	221999	222.8078145601207	223.39225305553893	739	0.02
222000	17.469998494784036	222999	223.2215019736447	223.39225305553893	743	0.02
223000	17.540942120552064	223999	225.066138683803	225.066138683803	745	0.02
224000	17.60550822019577	224999	222.7059647232641	225.066138683803	750	0.02
225000	17.67079714536667	225999	222.81552928651104	225.066138683803	754	0.02
226000	17.731044137477873	226999	222.73676535309187	225.066138683803	759	0.02
227000	17.793083027998605	227999	221.19578968053997	225.066138683803	764	0.02
228000	17.86048079331716	228999	222.23479699692342	225.066138683803	767	0.02
229000	17.919646755854288	229999	221.2365644539822	225.066138683803	772	0.02
230000	17.98120807806651	230999	217.39301873187648	225.066138683803	777	0.02
231000	18.04058657884598	231999	222.6938976134964	225.066138683803	782	0.02
232000	18.10184117555618	232999	222.67540306875327	225.066138683803	786	0.02
233000	18.169150845209757	233999	224.42915829574744	225.066138683803	790	0.02
234000	18.231591991583507	234999	226.52054384744636	226.52054384744636	794	0.02
235000	18.293474777539572	235999	227.710664046107	227.710664046107	798	0.02
236000	18.35356117884318	236999	227.38000847751118	227.710664046107	802	0.02
237000	18.41661608616511	237999	225.99750437983377	227.710664046107	807	0.02
238000	18.482740326722464	238999	224.52317618010125	227.710664046107	811	0.02
239000	18.543796547253926	239999	222.8221133926762	227.710664046107	815	0.02
240000	18.604739407698315	240999	220.9034777168081	227.710664046107	819	0.02
241000	18.72971107562383	241999	211.02243554572485	227.710664046107	826	0.02
242000	18.78925918340683	242999	207.7441633836189	227.710664046107	831	0.02
243000	18.85326745510101	243999	201.0741600062309	227.710664046107	836	0.02
244000	18.91602888504664	244999	198.6901522957534	227.710664046107	841	0.02
245000	18.98271268606186	245999	197.77124132349607	227.710664046107	843	0.02
246000	19.04357257684072	246999	189.1707529369774	227.710664046107	849	0.02
247000	19.104217239220937	247999	185.19841107564622	227.710664046107	854	0.02
248000	19.163065306345622	248999	179.96012409049442	227.710664046107	860	0.02
249000	19.227741487820943	249999	177.02750743045146	227.710664046107	864	0.02
250000	19.28802134990692	250999	176.02598141732736	227.710664046107	870	0.02
251000	19.349315722783405	251999	167.78623906046255	227.710664046107	876	0.02
252000	19.411126244068146	252999	168.4823844227156	227.710664046107	880	0.02
253000	19.469465657075247	253999	161.1569529518046	227.710664046107	885	0.02
254000	19.531985477606455	254999	168.58991506126233	227.710664046107	890	0.02
255000	19.59074657758077	255999	163.15863289298187	227.710664046107	896	0.02
256000	19.654629123210906	256999	157.8254219500898	227.710664046107	902	0.02
