Iteration	Time	Timesteps	TimestepsThisBatch	fps	MeanReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Episodes
59	3.588181471824646	298808	5490	904.9322259602319	-36.96409	42.37017	36.406242	-168.60005	203.33333333333334	228.71120395558853	2992
60	3.6646414200464883	303850	5042	1099.1580912364884	-29.067886	42.43374	28.477966	-192.20393	180.07142857142858	162.1672259850105	3020
61	3.889954352378845	308902	5052	373.7128139757035	-36.018913	44.90425	70.781906	-189.8575	162.96774193548387	56.67876877972046	3051
62	3.9850707133611043	313932	5030	881.4466599481686	-21.207941	28.323263	32.05814	-83.12354	239.52380952380952	248.11683481541684	3072
63	4.130139025052388	319311	5379	618.0151065688365	-24.623238	27.970562	12.52158	-84.4147	298.8333333333333	314.3600642575326	3090
64	4.262354624271393	324711	5400	680.7403890214448	-19.33285	46.075397	31.607582	-159.20859	245.45454545454547	241.58994697490795	3112
65	4.440024844805399	330172	5461	512.2967178186667	-22.047026	28.62654	29.265564	-87.91994	341.3125	327.76911056984915	3128
66	4.5839590986569725	335345	5173	599.0304031512829	-56.734367	103.50138	25.910301	-291.13562	369.5	246.9903844282202	3142
67	4.817415062586466	340981	5636	402.3718743711635	-7.7296534	43.97054	47.43756	-81.58653	704.5	381.7440241837454	3150
68	4.975817441940308	346027	5046	530.9541658541593	-119.19377	134.28325	19.252113	-368.03027	630.75	271.2322574842454	3158
69	5.156847433249156	351632	5605	516.0488950016227	-21.51791	29.83023	15.655827	-73.61764	800.7142857142857	315.0463522747608	3165
70	5.3343845963478085	357136	5504	516.7184479131863	-9.765802	39.939796	45.84517	-62.758682	688.0	337.34589074123903	3173
71	5.549261860052744	363130	5994	464.9299978000547	-45.273296	50.318398	7.284752	-124.47925	999.0	0.0	3179
72	5.728112538655599	368269	5139	478.9118266592308	-6.2389584	29.755873	38.32005	-50.501717	856.5	257.4514517341085	3185
73	5.8954385161399845	373772	5503	548.1466481396207	-73.15498	84.77639	26.257568	-240.2486	687.875	309.79365612452426	3193
74	6.0514248212178545	379376	5604	598.7967808336766	13.27054	31.575087	93.693665	-39.21189	373.6	320.81891049832666	3208
75	6.188718624909719	384453	5077	616.3537824305284	12.971331	19.301035	52.464832	-12.638916	362.64285714285717	334.36754950692404	3222
76	6.289305889606476	389574	5121	848.5903079502514	7.227227	26.928	58.71603	-68.60383	243.85714285714286	207.92060886751156	3243
77	6.45800309975942	394615	5041	498.05148791195865	8.48453	28.682596	43.227135	-39.710693	504.1	405.01936990716877	3253
78	6.621999224026998	399971	5356	544.3447301837751	0.46122137	26.732906	37.317493	-69.18652	446.3333333333333	392.0887087835552	3265
79	6.767581331729889	405001	5030	575.8794420965082	9.147713	32.691067	67.786644	-27.14563	503.0	406.42637709676274	3275
80	6.950545942783355	410269	5268	479.88795643676985	25.508238	32.889797	71.21464	-19.235031	878.0	270.5642252774746	3281
81	7.6237790505091345	415817	5548	137.3481998593146	-1.3851866	43.12669	38.719357	-79.95704	616.4444444444445	349.12560971378866	3290
82	7.773410999774933	420903	5086	566.5210980224691	16.58951	31.757874	60.33079	-53.177002	565.1111111111111	390.48444113105467	3299
83	7.937357254823049	426189	5286	537.389343272002	-54.35603	125.93587	84.88854	-266.05807	881.0	178.55344671367544	3305
84	8.118774127960204	431744	5555	510.35280740649637	13.459117	39.793747	54.915764	-68.9234	925.8333333333334	163.60564035373463	3311
85	8.297611192862194	437131	5387	502.05417396028315	6.730652	38.780827	73.28975	-51.08113	897.8333333333334	226.21554372372873	3317
