Iteration	Time	Timesteps	MeanReturn	BestMeanReturn	Episodes	Exploration
76000	3.694650348027547	76999	-199.78	-199.78	385	0.02
77000	3.744983108838399	77999	-199.78	-199.78	390	0.02
78000	3.7960602402687074	78999	-199.78	-199.78	395	0.02
79000	3.849632704257965	79999	-199.78	-199.78	400	0.02
80000	3.9045486489931744	80999	-199.78	-199.78	405	0.02
81000	4.076260987917582	81999	-199.78	-199.78	410	0.02
82000	4.128861439228058	82999	-199.78	-199.78	415	0.02
83000	4.1804015437761946	83999	-199.78	-199.78	420	0.02
84000	4.232556275526682	84999	-199.78	-199.78	425	0.02
85000	4.2818958560625715	85999	-199.78	-199.78	430	0.02
86000	4.3341884533564246	86999	-199.62	-199.62	435	0.02
87000	4.385586563746134	87999	-199.62	-199.62	440	0.02
88000	4.437421727180481	88999	-199.62	-199.62	445	0.02
89000	4.488554402192434	89999	-199.62	-199.62	450	0.02
90000	4.540088391304016	90999	-199.62	-199.62	455	0.02
91000	4.593630965550741	91999	-199.62	-199.62	460	0.02
92000	4.643496211369833	92999	-199.62	-199.62	465	0.02
93000	4.694002715746562	93999	-199.84	-199.62	470	0.02
94000	4.744800357023875	94999	-199.84	-199.62	475	0.02
95000	4.796082822481791	95999	-199.84	-199.62	480	0.02
96000	4.8462796926498415	96999	-199.84	-199.62	485	0.02
97000	4.896376554171244	97999	-199.84	-199.62	490	0.02
98000	4.9476898868878685	98999	-199.84	-199.62	495	0.02
99000	4.997133656342824	99999	-199.84	-199.62	500	0.02
100000	5.05063910484314	100999	-199.84	-199.62	505	0.02
101000	5.2256164193153385	101999	-199.84	-199.62	510	0.02
102000	5.2781946380933125	102999	-199.84	-199.62	515	0.02
103000	5.333340207735698	103999	-199.84	-199.62	520	0.02
104000	5.3858634312947595	104999	-199.84	-199.62	525	0.02
105000	5.440980978806814	105999	-199.67	-199.62	530	0.02
106000	5.494434837500254	106999	-199.66	-199.62	535	0.02
107000	5.548315032323202	107999	-199.49	-199.49	540	0.02
108000	5.60024155775706	108999	-199.49	-199.49	545	0.02
109000	5.6519376873970035	109999	-199.49	-199.49	550	0.02
110000	5.7032780607541405	110999	-199.49	-199.49	555	0.02
111000	5.755595513184866	111999	-199.49	-199.49	560	0.02
112000	5.8077961524327595	112999	-199.49	-199.49	565	0.02
113000	5.860413797696432	113999	-199.49	-199.49	570	0.02
114000	5.913727911313375	114999	-199.49	-199.49	575	0.02
115000	5.966776529947917	115999	-199.49	-199.49	580	0.02
116000	6.017578212420146	116999	-199.49	-199.49	585	0.02
117000	6.069371016820272	117999	-199.21	-199.21	590	0.02
118000	6.121223398049673	118999	-199.21	-199.21	595	0.02
119000	6.171579718589783	119999	-199.21	-199.21	600	0.02
120000	6.223080392678579	120999	-199.21	-199.21	605	0.02
121000	6.394052346547444	121999	-198.72	-198.72	610	0.02
122000	6.446119968096415	122999	-198.72	-198.72	615	0.02
123000	6.49856303135554	123999	-198.72	-198.72	620	0.02
124000	6.549802001317342	124999	-198.39	-198.39	625	0.02
125000	6.60262957016627	125999	-198.39	-198.39	631	0.02
126000	6.655608514944713	126999	-198.59	-198.39	636	0.02
127000	6.7069985946019495	127999	-198.1	-198.1	641	0.02
128000	6.759124024709066	128999	-198.1	-198.1	646	0.02
129000	6.815949098269145	129999	-198.1	-198.1	651	0.02
130000	6.874962123235067	130999	-198.1	-198.1	656	0.02
131000	6.929456269741058	131999	-198.1	-198.1	661	0.02
132000	6.980971705913544	132999	-197.77	-197.77	666	0.02
133000	7.0317254344622295	133999	-197.77	-197.77	671	0.02
134000	7.082282042503357	134999	-197.77	-197.77	676	0.02
135000	7.133389866352081	135999	-197.77	-197.77	681	0.02
136000	7.185734736919403	136999	-197.77	-197.77	686	0.02
137000	7.237934748331706	137999	-198.05	-197.77	691	0.02
138000	7.288467748959859	138999	-198.05	-197.77	696	0.02
139000	7.340655569235484	139999	-197.57	-197.57	701	0.02
140000	7.392315196990967	140999	-197.57	-197.57	706	0.02
141000	7.568169005711874	141999	-198.06	-197.57	711	0.02
142000	7.622912816206614	142999	-198.06	-197.57	716	0.02
143000	7.676751383145651	143999	-197.93	-197.57	721	0.02
144000	7.732251524925232	144999	-198.26	-197.57	726	0.02
145000	7.787049146493276	145999	-197.97	-197.57	732	0.02
146000	7.838972667853038	146999	-198.23	-197.57	737	0.02
147000	7.892381485303243	147999	-198.53	-197.57	742	0.02
148000	7.944598615169525	148999	-198.53	-197.57	747	0.02
149000	7.996381715933482	149999	-198.53	-197.57	752	0.02
1000	0.028665085633595783	1999	-200.0	-inf	9	0.9564662222222222
2000	0.055988256136576334	2999	-200.0	-inf	14	0.9346884444444444
3000	0.08394810756047567	3999	-200.0	-inf	19	0.9129106666666666
4000	0.1115490992863973	4999	-200.0	-inf	24	0.8911328888888889
5000	0.140580411752065	5999	-200.0	-inf	29	0.8693551111111111
6000	0.17036383549372355	6999	-200.0	-inf	34	0.8475773333333334
7000	0.19944629669189454	7999	-200.0	-inf	39	0.8257995555555555
8000	0.23050365050633748	8999	-200.0	-inf	44	0.8040217777777778
9000	0.25937175353368125	9999	-200.0	-inf	49	0.7822439999999999
10000	0.2899217406908671	10999	-200.0	-inf	54	0.7604662222222223
11000	0.32150540749231976	11999	-200.0	-inf	59	0.7386884444444444
12000	0.3545395016670227	12999	-200.0	-inf	64	0.7169106666666667
13000	0.3876362681388855	13999	-200.0	-inf	69	0.6951328888888888
14000	0.42082265615463255	14999	-200.0	-inf	74	0.6733551111111111
15000	0.4552374879519145	15999	-200.0	-inf	79	0.6515773333333333
16000	0.492340079943339	16999	-200.0	-inf	84	0.6297995555555556
17000	0.530918558438619	17999	-200.0	-inf	89	0.6080217777777778
18000	0.5704926768938701	18999	-200.0	-inf	94	0.586244
19000	0.6066795627276103	19999	-200.0	-inf	99	0.5644662222222223
20000	0.6446196436882019	20999	-200.0	-200.0	104	0.5426884444444444
21000	0.8035231987635295	21999	-200.0	-200.0	109	0.5209106666666667
22000	0.8399837652842204	22999	-200.0	-200.0	114	0.49913288888888885
23000	0.8783381621042887	23999	-200.0	-200.0	119	0.4773551111111112
24000	0.9155587593714396	24999	-200.0	-200.0	124	0.4555773333333334
25000	0.9537352959314982	25999	-200.0	-200.0	129	0.4337995555555555
26000	0.9931646426518758	26999	-200.0	-200.0	134	0.4120217777777777
27000	1.031981897354126	27999	-200.0	-200.0	139	0.39024400000000004
28000	1.0716459512710572	28999	-200.0	-200.0	144	0.36846622222222225
29000	1.112137993176778	29999	-200.0	-200.0	149	0.34668844444444447
30000	1.1511892000834147	30999	-200.0	-200.0	154	0.3249106666666667
31000	1.1919113596280415	31999	-200.0	-200.0	159	0.3031328888888889
32000	1.2368829846382141	32999	-200.0	-200.0	164	0.2813551111111111
33000	1.2801380634307862	33999	-200.0	-200.0	169	0.25957733333333344
34000	1.324867550532023	34999	-200.0	-200.0	174	0.23779955555555554
35000	1.3705108006795248	35999	-200.0	-200.0	179	0.21602177777777776
36000	1.4182802359263103	36999	-200.0	-200.0	184	0.19424399999999997
37000	1.4656834443410238	37999	-200.0	-200.0	189	0.1724662222222223
38000	1.5131637851397197	38999	-200.0	-200.0	194	0.1506884444444445
39000	1.561624809106191	39999	-200.0	-200.0	199	0.12891066666666662
40000	1.611945911248525	40999	-200.0	-200.0	204	0.10713288888888894
41000	1.7811246474583944	41999	-200.0	-200.0	209	0.08535511111111116
42000	1.8288006981213887	42999	-200.0	-200.0	214	0.06357733333333337
43000	1.8772504289944967	43999	-200.0	-200.0	219	0.04179955555555548
44000	1.9248898386955262	44999	-200.0	-200.0	224	0.020021777777777805
45000	1.974993093808492	45999	-200.0	-200.0	229	0.02
46000	2.02316636244456	46999	-200.0	-200.0	234	0.02
